city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
buenos aires,-34.61,-58.38,67.89,43,0,5.82,1603902279,AR
george,-33.96,22.46,59.0,93,75,3.36,1603902409,ZA
patiya,22.29,91.98,82.4,88,75,2.59,1603902409,BD
karia,11.73,11.16,93.16,18,0,5.95,1603902409,NG
oparino,59.85,48.28,37.2,84,94,13.27,1603902409,RU
chapais,49.78,-74.85,32.0,98,90,13.87,1603902410,CA
kaa-khem,51.68,94.73,32.86,87,87,3.71,1603902125,RU
fenoarivo atsinanana,-17.37,49.42,78.8,83,75,9.17,1603902410,MG
beidao,34.57,105.89,35.01,80,7,4.0,1603901659,CN
mayahi,13.96,7.67,93.69,13,0,3.74,1603902410,NE
stavern,59.0,10.03,49.08,81,40,13.87,1603902410,NO
vao,-22.67,167.48,71.74,78,76,16.82,1603901905,NC
enid,36.4,-97.88,32.95,99,90,4.7,1603902286,US
phayao,19.25,100.25,71.11,86,100,1.05,1603902410,TH
vanderhoof,54.02,-124.02,33.26,94,100,0.94,1603901703,CA
iquitos,-3.75,-73.25,86.0,74,75,5.82,1603902410,PE
ust-tsilma,65.44,52.15,40.05,93,100,9.4,1603902410,RU
moctezuma,29.8,-109.67,55.54,38,0,8.75,1603902410,MX
rafaela,-31.25,-61.49,77.81,25,55,7.0,1603902411,AR
westport,41.14,-73.36,49.53,93,90,10.29,1603901911,US
mechanicsville,37.61,-77.37,70.77,78,90,11.41,1603902411,US
avera,33.19,-82.53,77.59,88,90,8.05,1603902471,US
sao joao da barra,-21.64,-41.05,89.6,59,20,13.87,1603901909,BR
borovoy,55.43,86.08,28.4,92,90,13.42,1603902471,RU
marawi,8.0,124.29,72.0,91,52,5.99,1603902471,PH
buala,-8.14,159.59,80.31,79,81,2.89,1603901893,SB
morondava,-20.28,44.28,79.7,77,0,14.99,1603902471,MG
riohacha,11.54,-72.91,88.39,64,9,10.94,1603902471,CO
broome,42.25,-75.83,47.08,93,90,8.05,1603901889,US
khani,41.96,42.96,71.6,40,0,24.16,1603902472,GE
lagoa,39.05,-27.98,63.7,70,2,9.93,1603902472,PT
road town,18.42,-64.62,81.3,70,75,13.87,1603902472,VG
wucheng,29.6,118.17,57.99,88,25,2.77,1603902472,CN
namatanai,-3.67,152.43,79.47,81,56,4.21,1603901913,PG
gangarampur,25.4,88.52,75.11,68,0,3.22,1603902472,IN
pihuamo,19.25,-103.38,78.8,78,20,0.76,1603902472,MX
limoges,45.75,1.33,54.79,87,75,8.05,1603902472,FR
kande,9.96,1.04,91.4,22,0,4.7,1603902472,TG
khyriv,49.53,22.85,51.08,74,100,5.99,1603902472,UA
hay river,60.82,-115.8,12.2,85,75,3.36,1603902473,CA
fernandina beach,30.67,-81.46,82.33,83,40,9.17,1603902410,US
laguna,38.42,-121.42,53.04,62,1,2.3,1603902473,US
fonte boa,-2.5,-66.27,93.97,50,76,4.14,1603902473,BR
sawakin,19.11,37.33,84.9,67,0,6.51,1603902473,SD
panama city,8.99,-79.52,85.26,74,20,3.36,1603901639,PA
bartica,6.4,-58.62,91.4,55,75,4.7,1603901913,GY
cap malheureux,-19.98,57.61,73.99,74,95,5.99,1603901919,MU
smithers,54.78,-127.17,32.0,83,90,0.81,1603901934,CA
college,64.86,-147.8,16.9,85,40,3.36,1603902473,US
batagay,67.63,134.63,0.72,92,100,1.95,1603902474,RU
molteno,-31.4,26.36,79.25,25,81,14.03,1603902474,ZA
cayenne,4.93,-52.33,89.6,59,40,11.41,1603901883,GF
tiszafured,47.62,20.77,57.2,82,100,2.24,1603902474,HU
garowe,8.41,48.48,86.22,29,12,6.82,1603902474,SO
port moresby,-9.44,147.18,74.68,93,100,2.93,1603901890,PG
la palma,33.85,-118.05,63.19,33,1,5.82,1603902474,US
korla,41.76,86.15,47.16,48,97,3.83,1603902474,CN
cervo,43.67,-7.41,62.01,72,62,5.99,1603902474,ES
clinton,42.59,-82.92,47.28,57,20,11.41,1603902411,US
newry,54.18,-6.34,48.99,74,51,8.99,1603902474,GB
butembo,0.15,29.28,61.99,99,96,2.35,1603902475,CD
kutum,14.2,24.67,85.32,18,62,14.25,1603901918,SD
simplicio mendes,-7.85,-41.91,96.57,36,97,1.81,1603902475,BR
namibe,-15.2,12.15,71.98,79,72,12.93,1603902475,AO
linxia,35.6,103.21,38.1,77,0,1.45,1603902475,CN
narsaq,60.92,-46.05,32.0,90,75,3.2,1603901891,GL
biak,-0.91,122.88,77.52,81,45,2.51,1603902475,ID
khilok,51.37,110.47,30.29,88,2,3.76,1603902475,RU
rajgir,25.03,85.42,68.0,82,0,4.72,1603902475,IN
banka,24.88,86.92,72.54,47,0,6.96,1603902475,IN
zemio,5.03,25.14,75.58,88,96,3.31,1603902476,CF
salta,-24.79,-65.41,86.0,30,20,8.05,1603902476,AR
hauterive,46.09,3.45,58.19,58,40,14.99,1603902476,FR
khandyga,62.67,135.6,12.47,96,100,1.14,1603901909,RU
elizabeth city,36.29,-76.25,71.85,78,75,9.17,1603902190,US
manta,-0.95,-80.73,80.6,69,40,6.93,1603902348,EC
mouzouras,35.53,24.15,62.6,88,75,5.82,1603902536,GR
rudbar,30.15,62.6,64.83,29,0,18.59,1603902536,AF
addanki,15.82,79.98,77.85,78,100,2.1,1603902537,IN
gigmoto,13.78,124.39,80.42,82,38,4.23,1603902537,PH
nancha,47.13,129.27,29.88,90,9,3.44,1603902537,CN
kastamonu,41.5,33.67,62.46,55,75,4.05,1603902537,TR
jepelacio,-6.12,-76.95,81.66,54,100,3.42,1603902537,PE
uyuni,-20.46,-66.83,54.91,24,0,15.61,1603902537,BO
palembang,-2.92,104.75,76.96,92,86,3.02,1603902416,ID
chalmette,29.94,-89.96,79.27,94,90,12.75,1603902537,US
ngaoundere,7.32,13.58,73.71,61,97,5.53,1603902538,CM
little current,45.98,-81.92,41.52,69,90,18.34,1603902538,CA
scarborough,54.28,-0.4,47.39,76,76,5.99,1603902538,GB
guapore,-28.85,-51.89,79.21,16,0,5.01,1603902538,BR
nanakuli,21.39,-158.15,70.38,94,1,3.36,1603902538,US
liuli,-11.08,34.63,81.7,56,17,13.09,1603902538,TZ
roald,62.58,6.13,45.66,81,40,3.36,1603902538,NO
manono,-7.3,27.42,79.84,69,94,3.22,1603902538,CD
aban,56.67,96.06,35.92,78,100,12.82,1603902538,RU
aleksandrovskoye,44.71,43.0,52.39,81,70,6.71,1603902538,RU
springfield,37.22,-93.3,45.21,93,90,4.7,1603902539,US
drobak,59.66,10.63,46.99,1,52,3.0,1603902539,NO
vereya,55.34,36.17,45.0,75,0,8.01,1603902539,RU
matagami,49.75,-77.63,32.0,97,90,8.05,1603902539,CA
solnechnyy,50.72,136.63,31.21,97,100,4.83,1603902539,RU
katsuura,35.13,140.3,65.12,77,75,9.17,1603902539,JP
tchibanga,-2.85,11.03,70.99,98,100,2.3,1603902539,GA
bandarbeyla,9.49,50.81,77.94,81,51,9.73,1603902539,SO
medicine hat,50.05,-110.67,37.15,86,90,4.7,1603902447,CA
nantucket,41.28,-70.1,51.44,87,90,14.99,1603902281,US
nizwa,22.93,57.53,72.88,24,0,3.27,1603902539,OM
kupang,-10.17,123.58,81.14,76,100,8.81,1603902540,ID
tezu,27.92,96.17,73.04,58,0,3.87,1603902540,IN
perez,-33.0,-60.77,65.32,68,75,28.86,1603902540,AR
pahrump,36.21,-115.98,55.94,23,0,1.07,1603902540,US
adrar,20.5,-10.07,92.79,13,0,12.17,1603902540,MR
sokolovskoye,45.26,40.68,60.08,67,0,11.39,1603902540,RU
stokmarknes,68.56,14.91,38.82,93,0,5.82,1603902540,NO
hearst,49.68,-83.67,33.04,91,100,8.9,1603902540,CA
hanzhong,33.07,107.03,51.69,78,89,1.32,1603902540,CN
eenhana,-17.47,16.33,104.0,13,20,11.41,1603902541,NA
kayerkan,69.35,87.76,1.11,78,0,5.61,1603902541,RU
melur,10.05,78.33,79.41,70,5,3.76,1603902541,IN
biskamzha,53.45,89.53,27.46,94,61,14.16,1603902541,RU
roebourne,-20.78,117.13,70.32,90,1,4.76,1603902541,AU
sava,40.4,17.56,64.47,72,20,18.34,1603902541,IT
padang,-0.95,100.35,78.37,72,80,4.07,1603902541,ID
alibag,18.64,72.88,80.58,73,0,3.42,1603902541,IN
goderich,43.75,-81.72,44.53,67,25,20.13,1603902542,CA
cabo san lucas,22.89,-109.91,74.77,64,75,5.82,1603902308,MX
nabire,-3.37,135.48,76.68,85,99,3.4,1603902542,ID
kigoma,-4.88,29.63,80.6,69,40,1.12,1603902542,TZ
santa cruz,-17.8,-63.17,88.48,52,40,28.86,1603902542,BO
mankono,8.06,-6.19,88.41,49,18,3.91,1603902542,CI
mugur-aksy,50.35,90.5,24.62,85,0,4.94,1603902542,RU
kyren,51.68,102.14,35.51,74,57,4.5,1603902603,RU
omboue,-1.57,9.26,75.69,93,100,6.29,1603902603,GA
bud,39.45,-86.18,48.06,87,90,1.43,1603902489,US
damaturu,11.75,11.96,88.99,18,13,10.78,1603902603,NG
ginda,30.69,78.49,51.37,44,0,5.35,1603902603,IN
alice springs,-23.7,133.88,60.8,21,0,7.61,1603902462,AU
faanui,-16.48,-151.75,80.02,80,88,18.1,1603902603,PF
morozovsk,48.35,41.83,47.07,54,43,14.7,1603902603,RU
port-cartier,50.03,-66.87,26.98,79,90,3.36,1603902604,CA
manicore,-5.81,-61.3,87.8,66,0,4.7,1603902605,BR
nove hrady,48.79,14.78,47.16,75,100,3.0,1603902605,CZ
chor,25.52,69.77,81.14,24,0,9.19,1603902605,PK
kyra,49.58,111.98,29.73,85,14,1.68,1603902605,RU
ishigaki,24.34,124.16,77.63,77,24,17.6,1603902606,JP
hofn,64.25,-15.21,42.8,81,90,12.75,1603902606,IS
awbari,26.59,12.78,73.81,28,0,9.19,1603902606,LY
alugan,12.22,125.48,80.56,82,4,6.04,1603902607,PH
tabanan,-8.54,115.13,80.6,88,75,2.24,1603902607,ID
finnsnes,69.23,17.98,19.4,92,0,3.36,1603902607,NO
aripuana,-9.17,-60.63,96.93,38,91,4.34,1603902608,BR
shaowu,27.34,117.48,67.23,84,97,2.08,1603902608,CN
morgan city,29.7,-91.21,78.55,94,90,16.11,1603902608,US
sahuaripa,29.05,-109.23,61.95,26,0,4.41,1603902608,MX
wuchi,29.38,103.02,43.48,98,100,1.36,1603902608,CN
uyemskiy,64.47,40.85,42.8,93,90,22.37,1603902608,RU
tateyama,34.98,139.87,66.0,53,90,5.01,1603902609,JP
brunico,46.8,11.94,38.86,75,20,1.54,1603902609,IT
dromolaxia,34.88,33.59,74.3,64,20,11.41,1603902609,CY
alekseyevsk,57.84,108.35,22.8,96,93,4.76,1603902610,RU
flin flon,54.77,-101.86,15.8,66,90,9.17,1603902604,CA
bassila,9.01,1.67,83.03,49,17,2.15,1603902610,BJ
iranshahr,27.2,60.68,78.8,7,0,9.17,1603902610,IR
paamiut,61.99,-49.67,28.27,88,100,12.19,1603902610,GL
sjovegan,68.87,17.85,20.66,92,0,3.36,1603902610,NO
bairiki,1.33,172.98,77.0,88,20,5.32,1603902610,KI
fukue,32.69,128.84,67.62,65,27,14.32,1603902611,JP
porto novo,6.5,2.6,84.2,79,20,11.41,1603902611,BJ
shenxian,36.24,115.67,56.55,35,94,0.51,1603902611,CN
banjar,-8.19,114.97,80.6,88,75,2.24,1603902611,ID
vila velha,-20.33,-40.29,84.97,70,20,19.46,1603902611,BR
port hawkesbury,45.62,-61.35,42.28,56,75,10.29,1603902611,CA
kharitonovo,61.4,47.5,42.96,88,100,13.53,1603902612,RU
luoyang,34.68,112.45,51.55,71,87,2.8,1603902612,CN
