city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
west wendover,40.74,-114.07,35.6,43,1,5.82,1603902344,US
grenada,37.19,-3.61,71.02,31,0,3.36,1603902179,ES
yuryev-polskiy,56.5,39.68,42.08,78,0,13.0,1603902344,RU
wuwei,37.93,102.64,46.99,72,0,3.02,1603902344,CN
ginir,7.13,40.7,59.23,77,22,3.04,1603902344,ET
mackay,-21.15,149.2,68.23,88,39,1.12,1603902344,AU
kahului,20.89,-156.47,71.55,83,1,4.7,1603901855,US
grand-lahou,5.14,-5.02,79.41,81,88,4.83,1603902345,CI
yerbogachen,61.28,108.01,17.31,90,67,11.36,1603902281,RU
gushi,34.64,109.58,53.1,72,37,4.59,1603902345,CN
accra,5.56,-0.2,77.0,88,75,8.05,1603902345,GH
kailua,21.4,-157.74,72.09,83,40,6.11,1603902343,US
kankon,15.02,74.02,79.56,74,48,5.03,1603902345,IN
byron bay,-28.65,153.62,62.08,93,63,5.77,1603902345,AU
henderson,36.04,-114.98,55.96,17,1,3.18,1603902223,US
kavaratti,10.57,72.64,82.2,75,1,6.29,1603901898,IN
berdigestyakh,62.1,126.7,2.8,92,97,4.94,1603902345,RU
coahuayana,18.73,-103.68,78.8,78,20,0.81,1603902345,MX
jega,12.22,4.38,95.54,17,0,4.63,1603902345,NG
altay,47.87,88.12,33.84,80,9,2.44,1603902345,CN
praia da vitoria,38.73,-27.07,69.46,60,40,13.69,1603901922,PT
kattivakkam,13.22,80.32,79.84,80,21,14.0,1603902346,IN
kerman,30.28,57.08,59.0,16,0,6.93,1603902346,IR
muros,42.78,-9.06,62.01,76,90,3.0,1603902346,ES
lasa,46.62,10.7,46.08,70,5,3.36,1603901904,IT
bathsheba,13.22,-59.52,78.8,94,40,10.29,1603901891,BB
manitouwadge,49.12,-85.84,30.2,92,90,3.36,1603902346,CA
conde,-7.26,-34.91,86.0,55,75,13.87,1603901914,BR
san luis,-33.3,-66.34,57.85,51,32,23.67,1603902390,AR
ostersund,63.18,14.64,42.4,93,75,12.75,1603902406,SE
matadi,-5.82,13.45,84.18,67,92,10.4,1603902406,CD
daru,-9.08,143.21,76.01,89,93,1.99,1603902406,PG
ust-kuyga,70.02,135.6,-6.02,90,83,4.94,1603902407,RU
ukiah,39.15,-123.21,51.62,56,1,2.28,1603902254,US
merauke,-8.47,140.33,78.76,72,100,3.38,1603901937,ID
abha,18.22,42.51,68.0,14,20,9.17,1603902407,SA
pestretsy,55.75,49.65,32.0,90,0,8.95,1603902407,RU
alofi,-19.06,-169.92,71.6,83,51,11.41,1603901922,NU
hualmay,-11.1,-77.61,69.82,65,77,9.86,1603901866,PE
rocha,-34.48,-54.33,66.36,86,99,12.57,1603901864,UY
henties bay,-22.12,14.28,61.0,83,1,8.99,1603901910,NA
bom jesus,-9.07,-44.36,98.02,32,70,4.25,1603902407,BR
richards bay,-28.78,32.04,79.92,64,0,16.8,1603901901,ZA
kuala lipis,4.18,102.05,76.08,87,100,0.45,1603902225,MY
bemidji,47.47,-94.88,36.75,93,90,14.99,1603902398,US
chaman,30.92,66.45,50.36,36,0,4.07,1603902408,PK
beringovskiy,63.05,179.32,25.9,95,41,13.67,1603901884,RU
amot,59.57,7.99,48.7,76,75,9.17,1603902408,NO
aras,42.56,-2.36,68.0,49,20,3.36,1603902408,ES
jumla,29.27,82.18,46.89,64,7,3.56,1603901929,NP
fortuna,40.6,-124.16,50.0,57,1,9.17,1603902408,US
teonthar,24.98,81.65,74.3,34,0,3.69,1603902408,IN
safonovo,55.15,33.22,44.4,85,0,7.23,1603902408,RU
liverpool,53.41,-2.98,50.67,71,40,11.41,1603902409,GB
poum,-20.23,164.02,75.9,79,44,18.19,1603901918,NC
hirna,9.22,41.1,61.16,31,0,5.5,1603902409,ET
lang son,21.83,106.73,69.42,89,100,8.08,1603902138,VN
sao felix do xingu,-6.64,-51.99,92.97,44,93,2.57,1603902409,BR
siguiri,11.67,-9.5,93.67,16,0,5.17,1603902409,GN
